ISBN,Book-Title,Book-Author,Introduction,Year-Of-Publication,Book-Publisher,Book-Douban-URL,Book-Image-URL
9787229151447,猎魔人卷四,[波兰]安杰伊·萨普科夫斯基,"他骑马从北方来，一头白发，满面风霜；
他是异乡客，也是猎魔人，以斩妖除魔为己任，行走在现实与传说的迷雾之间。
遗世之岛仙尼德是属于巫师与魔法的岛屿，在这魔法之岛的夏日里，
杰洛特与叶妮芙是久别重逢的甜蜜情侣，希瑞是不安分的魔法学院新生。
而即将于此召开的巫师集会，则应完全与暴力无缘。
然而时代的风暴一夜之间让一切天翻地覆，巫师集会化为猩红的战场，
濒死的杰洛特、失踪的叶妮芙、在沙漠之中等待末日的希瑞，
三人再也无法回到那个夏天的仙尼德岛，
而他们的决定，将会彻底改写历史！
现在，你听到远处响起的马蹄声了吗？
杰洛特是一个身佩白狼徽章、流浪天下的猎魔人，从小就接受了严酷的训练，四海云游，狩猎和消灭怪物。他身处于道德领域模糊的世界中，但坚持个人一贯的处事风格，因为兼具愤世嫉俗、正直和傲慢的特色，杰洛特曾被比照为作家雷蒙·钱德勒（Raymond Chandler）笔下的著名侦探菲利浦·马罗。
“猎魔人系列”可以被视为是东欧的武侠故事，而作者安杰伊·萨普科夫斯基在中文幻想文学圈中也有“东欧金庸”的美誉。猎魔人世界的成形大量汲取了东欧的历史以及斯拉夫的神话集，将古老的传说进行再创造，兼具神秘的东方味道。
本套书包括：《白狼崛起》《命运之剑》《精灵之血》《轻蔑时代》《火之洗礼》《雨燕之塔》《湖中女士》。",2020,重庆出版社,https://book.douban.com/subject/35139964/,https://img3.doubanio.com/view/subject/s/public/s33717373.jpg
9787020185504,猛虎下山,李修文,"◎命运与我狭路相逢，但我没有被风暴卷走。
◎鲁迅文学奖得主 李修文 长篇新作
◎一个关于活着的寓言
◎每个人都携带着一部自己的史诗
【编辑推荐】
鲁迅文学奖得主李修文沉潜多年推出长篇新作《猛虎下山》，闪耀着独特的艺术灵光，来自山下炼钢厂的主人公与山中猛虎从相互较量到融为一体，人性的变异与时代精神互为显影。作品延续李修文长期以来的深沉关怀与艺术探求，充满激情地书写人间的跋涉、困顿与庄严，并借助现实书写与魔幻想象的有机融合，寻找到新的叙事视角，融入散文、戏曲元素，重新淬炼后的小说语言，铿锵而又奔放，给人独特的审美感受。
【内容简介】
镇虎山下的炼钢厂正在改制转轨，末位淘汰制像高悬的达摩克利斯之剑，大厂的光环黯然逝去，作为炉前工的刘丰收，从前的骄做与尊严碎了一地。时代的大变局下，生存成为前所未有的危机。一声虎啸，穿透千禧年到来的喧哗，定格在每个人耳中，故事在这一刻走向不可把握的未知。李修文回到历史和记忆的深处，打捞那些有名有姓的普通人，精细的田野调查通过象征、变形的艺术手法转化成一部浓缩时代精神与显影人性幽微的人间戏剧。真真假假、现实与虚幻的错杂形成了一个关于我们存在于世的哲学性隐喻。",2024,人民文学出版社,https://book.douban.com/subject/36848162/,https://img3.doubanio.com/view/subject/s/public/s34838217.jpg
9788016014976,迷宮飯(01),九井諒子,"在迷宮中冒險肚子餓了又沒帶糧食怎麼辦？
很簡單，只要把魔物拿來料理就好了！
萊歐斯一行人終於進到迷宮深處，卻遭到巨龍襲擊，失去了金錢與糧食。
決心再次挑戰的他們若不解決糧食問題，半路便會餓死。
此時，萊歐斯提出「吃魔物」的想法。
不止史萊姆、寶箱怪，甚至連龍都打算吃下肚!?
於是，一行人便展開了一邊冒險一邊料理魔物的……美食探險!?
冒險家們是否能平安抵達終點，還是半路就會吃壞肚子呢？
九井諒子首次長篇連載，「冒險×美食」的新奇幻風格，在此開幕！
本書特色：
1.人氣新銳漫畫家久井諒子「冒險×美食」新奇幻長篇故事！
2.日本銷量已突破60萬本！
3.AMAZON近300名讀者滿分五顆星高評價，長時間占據銷售第一名寶座！
4.首刷附贈青文獨家特製貼紙!!
5.第２集預定年底出版，九井諒子老師的其他作品也將於近日出版，敬請期待！",2015,迷宮飯,https://book.douban.com/subject/26634871/,https://img9.doubanio.com/view/subject/s/public/s28309786.jpg
9787534262135,查理九世1·黑贝街的亡灵,雷欧幻像,墨多多是个好奇又贪玩的小孩，老师和同学眼中的“问题多多”自从一只奇怪的贱狗“查理九世”来到墨多多的家，事情就不对劲儿了，一系列令人惊叫不已的事件发生了：一本扔不掉的“亡灵日记”，一张画满眼睛的藏宝图、一首恐怖的童谣……在神秘事件的共 同吸引下，四个各具才能的小伙伴组成秘密少年冒险队！《查理九世1:黑贝街的亡灵》中亡灵日记指引他们来到一条拥有无数幽灵传说的古老“黑贝街”——藏宝图开启，死神降临…层屡险恶，重重难关，他们能否化恐惧为智慧，走出被怪物、幽灵和莫名其妙的现象包围的地下迷宫。,2011,浙江少年儿童出版社,https://book.douban.com/subject/5912701/,https://img9.doubanio.com/view/subject/s/public/s4595214.jpg
9787544291170,百年孤独,[哥伦比亚]加西亚·马尔克斯,"《百年孤独》是魔幻现实主义文学的代表作，描写了布恩迪亚家族七代人的传奇故事，以及加勒比海沿岸小镇马孔多的百年兴衰，反映了拉丁美洲一个世纪以来风云变幻的历史。作品融入神话传说、民间故事、宗教典故等因素，巧妙地糅合了现实与虚幻，展现出一个瑰丽的想象世界，成为20世纪重要的经典文学巨著。1982年加西亚·马尔克斯获得诺贝尔文学奖，奠定世界级文学大师的地位，很大程度上便是凭借《百年孤独》的巨大影响。
————————————————————————
编辑推荐
【50周年纪念版！全新典藏内封；限量赠50周年精美魔幻明信片1套】
【马尔克斯代表作，全球惟一正式授权中文版，未作任何删节！6年发行量超600万册！】
缔造文坛传奇与文学奇迹；影响世界小说走向的文学巨匠加西亚·马尔克斯巅峰杰作！代表“魔幻现实主义”文学主峰；征服全球读者、作家、出版社、版权经纪人、书店、媒体的鸿篇巨制；被誉为“《堂吉诃德》之后zui伟大的西班牙语作品”；中国读者等待了近半个世纪的殿堂级经典《百年孤独》中文版惟一正式授权，根据马尔克斯指定版本翻译，未做任何增删！主要凭借《百年孤独》的巨大影响，马尔克斯赢得诺贝尔文学奖，奠定了世界文学大师的地位。
作品中将现实主义场面和虚构情境巧妙融合，展现出一个光怪陆离的想象世界，映射了一个大陆的风云变幻和百年沧桑；《百年孤独》融神话故事、《圣经》典故、民间传说于一体，采用打乱时间次序的独特叙述手法，产生出令全球读者无比沉醉的巨大魔力，被誉为“自《创世记》后首部值得全人类阅读的文学巨著”。
诺贝尔文学奖
名人推荐
我读《百年孤独》这本书第一个感觉是“震撼”。原来小说可以这样写。紧接着感觉到遗憾，我为什么早不知道小说可以这样写呢？二十多年来我始终在跟马尔克斯搏斗。这样的作家，我们既恨又爱，爱是因为打开我们头脑很多的禁锢，恨他是因为他的吸引力太强大了。——2012年诺贝尔文学奖得主莫言
《百年孤独》我读了三遍，现在我的孩子也已经读完《百年孤独》，他在英国跟我一块在火车上读的，一边读还一段一段念给我听。这是一本天才之作。——余华
我对《百年孤独》有非常真实的、崇敬的感觉。这样的作品会不停地卖，一代一代的人都会读，是长销书，当年文学青年几乎人手一本。——苏童
《百年孤独》乃是过去五十年来所有语言中zui伟大的杰作。——萨尔曼·拉什迪
一部惟一的美洲《圣经》。——卡洛斯·富恩特斯
《百年孤独》在马尔克斯构建的虚拟世界中达到了顶峰。这部小说整合并且超越了他以前的所有虚构，从而缔造了一个极其丰饶的双重世界。它穷尽了世界，同时自我穷尽。——巴尔加斯·略萨
加西亚·马尔克斯是所有语言中zui伟大的作家。——比尔·克林顿
他是个强有力的作家，有着丰富的想象。他继承了欧洲政治小说的伟大传统，其结果是历史剧与个人戏剧合二为一。——欧文·肖
加西亚·马尔克斯是诺贝尔文学奖得主中惟一没有争议的一位。——韩素音
媒体推荐
《创世记》之后，首部值得全人类阅读的文学巨著。——《纽约时报》
加西亚·马尔克斯以小说作品创建了一个自己的世界，一个浓缩的宇宙，其中喧嚣纷乱却又生动可信的现实，映射了一片大陆及其人民的富足与贫困。——诺贝尔文学奖颁奖辞",2017,南海出版公司,https://book.douban.com/subject/27107109/,https://img3.doubanio.com/view/subject/s/public/s33542403.jpg
9787208113039,魔戒,[英]J.R.R.托尔金,"★献给未来的永恒经典，我们时代最伟大的奇幻史诗。
★20世纪严肃想象力之源，蕴含对世间万物最本真的好奇心与最深刻的洞察力。
★ J.K.罗琳、乔治•马丁、彼得•杰克逊、阿西莫夫、阿瑟•克拉克……众天才敬仰的大师巅峰。
★ 5 0种语言世间传诵，60载光阴历久弥新。
★ 托尔金基金会指定，全新纯正译本。托尔金专家邓嘉宛据《魔戒》50周年纪念版重译。
★ 面向未来的装帧设计。华语世界首次完整还原托尔金亲绘《魔戒》封面插画。赭红书盒覆磨砂书套。
这是一部为了世界的光明未来，誓死抵抗黑暗的伟大史诗。
至尊魔戒，拥有统御众戒、奴役世界的力量，黑暗魔君索隆苦觅已久。为了守护家园，魔戒继承人弗罗多毅然离开宁谧淳朴的夏尔，踏上前途未卜的旅途。与他同行的是睿智的巫师、勇敢的人类、美善的精灵、坚毅的矮人和热爱和平的霍比特人。征途见证了勇气与友谊。跃马客栈里的重重暗影，卡扎督姆桥的怒吼炎魔，勇猛骁勇的洛汗骠骑，范贡森林的上古树须，凄厉嘶嚎的邪恶戒灵，陡峭山壁旁的巨型毒蛛……每个人各自抵御着无尽的诱惑与磨难，承担起属于自己的善恶考验。
平凡的霍比特人战栗在末日烈焰面前，他能战胜这噬灭灵魂的至尊魔戒吗？
全书共三部：《魔戒同盟》《双塔殊途》《王者归来》。
奥斯卡桂冠《指环王》三部曲电影原著小说。",2013,上海人民出版社,https://book.douban.com/subject/21979017/,https://img1.doubanio.com/view/subject/s/public/s27063429.jpg
9780590353427,HarryPotterandtheSorcerer'sStone,J.K.Rowling,"Harry Potter has never played a sport while flying on a broomstick. He's never worn a Cloak of Invisibility, befriended a giant, or helped hatch a dragon. All Harry knows is a miserable life with the Dursleys, his horrible aunt and uncle, and their abominable son, Dudley. Harry's room is a tiny cupboard under the stairs, and he hasn't had a birthday party in ten years.
But all that is about to change when a mysterious letter arrives by owl messenger: a letter with an invitation to a wonderful place he never dreamed existed. There he finds not only friends, aerial sports, and magic around every corner, but a great destiny that's been waiting for him... if Harry can survive the encounter.",1999,HarryPotter(AmericanPaperbacksVersion),https://book.douban.com/subject/1340758/,https://img9.doubanio.com/view/subject/s/public/s1815446.jpg
9787544253994,百年孤独,[哥伦比亚]加西亚·马尔克斯,《百年孤独》是魔幻现实主义文学的代表作，描写了布恩迪亚家族七代人的传奇故事，以及加勒比海沿岸小镇马孔多的百年兴衰，反映了拉丁美洲一个世纪以来风云变幻的历史。作品融入神话传说、民间故事、宗教典故等神秘因素，巧妙地糅合了现实与虚幻，展现出一个瑰丽的想象世界，成为20世纪最重要的经典文学巨著之一。1982年加西亚•马尔克斯获得诺贝尔文学奖，奠定世界级文学大师的地位，很大程度上乃是凭借《百年孤独》的巨大影响。,2011,南海出版公司,https://book.douban.com/subject/6082808/,https://img1.doubanio.com/view/subject/s/public/s27237850.jpg
9787020096695,哈利·波特,J.K.罗琳(J.K.Rowling),"《哈利·波特(共7册)(精)》编著者J.K.罗琳。
《哈利·波特(共7册)(精)》内容提要：2000年的一个深夜，在美国书店的烛光中，穿着黑斗篷，戴着小眼镜的店员开始销售“哈利o波特4”英文版，从此哈利·波特系列图书席卷全球，也是在这一年，简体中文版“哈利o波特”系列图书通过人民文学出版社引进版权登陆中国，作者J.K.罗琳用一种简单的魔法游戏将魔幻的故事传递给了中国乃至全球的青少年读者，与此同时商业电影的改编更是将这部魔幻题材的小说推向了巅峰。
截止到2013年，哈利·波特系列图书累计销量达到200多万套。
此次，人民文学出版社隆重推出《哈利o波特（精装本）》（全七册），此套精装珍藏版《哈利·波特》听取广大资深哈迷的心声，恢复选用陪伴广大哈迷十年之久深入人心的原有封面，并在此基础上提高工艺、完善装帧，配有独具匠心的精美函套，使哈利波特系列7本浑然一体，必将成为每一个喜欢哈利·波特读者爱不释手的珍藏！
《哈利·波特与魔法石》
一岁的哈利·波特失去父母后，神秘地出现在姨父姨妈家的门前。哈利在姨父家饱受欺凌，度过十年极其痛苦的日子。姨父和姨妈好似凶神恶煞，他们那混世魔王儿子达力--一个肥胖、娇惯、欺负人的大块头，更是经济对哈利拳脚相加。哈利的“房间”是位于楼梯口的一个又暗又小的碗橱。十年来，从来没有人为他过过生日。
但是在他十一岁生日那天，一切都发生了变化，信使猫头鹰带来了一封神秘的信：邀请哈利去一个他--以及所有读到哈利故事的人--会觉得望远难忘的、不可思议的地方--霍格沃茨魔法学校。
在魔法学校，哈利不仅找着了朋友，学会了空中飞行，骑着一把型号为光轮2000的飞天扫帚打魁地奇球，还得到了一件隐形衣。他发现那里的一切--从上课到吃饭到睡觉都充满了魔力，但是一块魔石出现，它与哈利的命运息息相关……
《哈利·波特与密室》
哈利·波特在霍格沃茨魔法学校学习一年之后，暑假开始了。他在姨父姨妈家熬过痛苦的假期。正当他准备打点行装去学校时，小精灵多比前来发出警告：如果哈利返回霍格沃茨，灾难将会临头。
但哈利义无返顾地回到了霍格沃茨，新来的吉罗德·洛哈特教授装腔作势，让他作呕；游荡在女生舆洗室里的幽灵“哭泣的桃金娘”搅得他不得安宁；低年级的小女生金妮对他投来关切目光常令他尴尬不已；小男生科林·克里维“追星”式的跟踪又经常使他落荒而逃。
但是，这一切仅仅是灾难的序曲。正如多比所预言的，哈利遭受了重重磨难，经历了种种危险，难解之谜又使他煞费苦心：霍格沃茨的学生接二连三地变成了石头。这一切是品德败坏的学生德拉科·马尔福精心策划的杰作？还是忠厚善良的海格无心铸成的大错？或者另有人将在霍格沃茨制造更大的阴谋？这一切又是否与传说中的密室有关？哈利决心揭开谜底……
《哈利·波特与阿兹卡班的囚徒》
哈利·波特在霍格沃茨魔法学校已经度过了不平凡的两年，而且早已听说魔法世界中有一座守备森严的阿兹卡班监狱，里面关押着一个臭名昭著的囚徒，名字叫小天狼星布莱克。传言布莱克是“黑魔法”高手伏地魔--杀害哈利父母的凶手--的忠实信徒，曾经用一句魔咒接连结束了十三条性命。不幸的是，布莱克逃出了阿兹卡班，一心追寻哈利。布莱克在睡梦中仍然呓语不休：“他在霍格沃茨……他在霍格沃茨。”
哈利·波特虽然身在魔法学校的城堡内，既有朋友的赤诚帮助，也有老师的悉心呵护，但校园内危机四伏，哈利的生命时时受到威胁。一天，布莱克终于站到了哈利的面前……
《哈利·波特与火焰杯》
哈利·波特在霍格沃茨魔法学校经过三年的学习和磨炼，逐渐成长为一个出色的巫师。新学年开始前，哈利和好朋友罗恩，赫敏一起去观看精彩的魁地奇世界杯赛，无意间发现了消失十三年的黑魔标记。哈利的心头笼上了一团浓重的阴云，但三个少年依然拥有他们自己的伊甸园。然而，少男少女的心思是那样难以捉摸，三人之间的美好友情竟是那样一波三折，忽晴忽雨……哈利渴望与美丽的秋·张共同走进一个美丽的故事，但这个朦朦胧胧的憧憬却遭受了小小的失意。他要做一个普普通通的四年级魔法学生，可不幸的是，哈利注定永远都不可能平平常常--即使拿魔法界的标准来衡量。黑魔的阴影始终挥之不去，种种暗藏杀机的神秘事件将哈利一步步推向了伏地魔的魔爪。哈利渴望在百年不遇的三强争霸赛中战胜自我，完成三个惊险艰巨的魔法项目，谁知整个竞赛竟是一个天大的黑魔法阴谋……
《哈利·波特与凤凰社》
漫长的暑假，哈利·波特被困在女贞路4号，意外地遭到摄魂怪的袭击……逃过一劫的哈利被护送到伦敦一个秘密的地方，在那里他见了自己的教父小天狼星布莱克、前任黑魔法防御术课教师卢平、疯眼汉穆迪以及他的朋友赫敏和罗恩。他只是知道邓布利多与凤凰社成员正在加紧秘密活动，以对抗日益强大的伏地魔。但是，所有的人都不愿向他透露更多的情况……
哈利在茫然与愤怒中来到霍格沃茨，然而令他不解的是，邓布利多不愿见他，海格不知去向。更糟糕的是，哈利越来越频繁地在梦中看见一道长长的走廊，每当他快要走进长廊尽头的一扇门时，他都会头痛欲裂地从梦中惊醒，觉得自己身体里蠕动着一条大蛇……
魔法部派来了一位专横跋扈的高级调查官，对学校各项事务横加干涉，并最终赶走了邓布利多校长，打伤了麦格教授，整个学校笼罩在一片混乱和压抑之中……
大蛇的影子在哈利的脑海里越来越清晰，伏地魔走近了哈利……这时，邓布利多告诉他一个天大的秘密……
《哈利·波特与“混血王子”》
仲夏的一个夜晚，反常的浓雾笼罩在窗户玻璃上，哈利·波特在女贞路4号德思礼家自己的卧室里紧张地等待着邓布利多教授的来访。
哈利不太确定邓布利多是否真的会来德思礼家。邓布利多为什么现在要来看他呢？几个星期之后，他就要返校，邓布利多为什么不能等一等呢？哈利六年级的学习似乎就这样出人意料地提前开始了……
而更加出人意料的事情还在接踵而至：邓布利多终于让斯内普教授如愿以偿，任命其担任黑魔法防御术课教师……哈利从教室的储藏柜里翻到一本魔药课本，它的前任主人是“混血王子”，从此哈利在神秘“王子”的帮助下成为“魔药奇才”……邓布利多开始了给哈利的单独授课，但奇怪的是，邓布利多却经常离开学校外出……在邓布利多的课上，哈利经历了几段关于少年伏地魔的惊心动魄的记忆，揭示了伏地魔不同寻常的身世之谜……
哈利隐隐觉得这一学期期内普教授和马尔福的关系发生了微妙变化，其中似乎别有一番隐情，而马尔福更是行踪诡秘……哈利试图揭穿马尔福的阴谋，但始终没有成功，直到马尔福把食死徒引进学校，斯内普对邓布利多校长举起了魔杖……
《哈利·波特与死亡圣器》
还有四天，哈利就要迎来自己十七岁的生日，成为一名真正的魔法师。然而，他不得不提前离开女贞路4号，永远离开这个他曾经生活过十六年的地方。
凤凰社的成员精心谋划了秘密转移哈利的计划，以防哈利遭到伏地魔及其追随者食死徒的袭击。然而，可怕的意外还是发生了……
与此同时，卷土重来的伏地魔已经染指霍格沃茨魔法学校，占领了魔法部，控制了半个魔法界，形势急转直下……
哈利在罗恩、赫敏的陪伴下，不得不逃亡在外，隐形遁迹。为了完成校长邓布利多的遗命，一直在暗中寻机销毁伏地魔魂器的哈利，意外地获悉如果他们能够拥有传说中的三件死亡圣器，伏地魔将必死无疑。但是，伏地魔也早已开始了寻找死亡圣器的行动，并派出众多食死徒，布下天罗地网追捕哈利……
哈利与伏地魔在魔法学校的禁林中遭遇了，哈利倒在伏地魔抢先到手的一件致命的圣器之下……
然而，伏地魔未能如愿以偿，死亡圣器不可能战胜纯正的灵魂。哈利赢得了这场殊死较量的最终胜利……",2008,人民文学出版社,https://book.douban.com/subject/24531956/,https://img9.doubanio.com/view/subject/s/public/s29101586.jpg
9787514238204,克苏鲁的呼唤,[日]田边刚,"☆H.P.洛夫克拉夫特原著改编漫画。
☆艾斯纳奖、手冢治虫文化奖入围者田边刚力作。
☆原汁原味的克苏鲁故事。
☆深入充满谜团的克苏鲁神话世界。
☆克苏鲁神话的原点。
萨斯顿继承了去世的伯祖父的遗产。在整理伯祖父遗物的过程中，萨斯顿发现了一块奇怪的黏土板和伯祖父的手稿。随着萨斯顿深入研究伯祖父的手稿，他发现了令人无法承受的宇宙真相，只能将其永远封印……",2023,文化发展出版社,https://book.douban.com/subject/36085250/,https://img1.doubanio.com/view/subject/s/public/s34396209.jpg
